,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,max_frac,max_voltage,min_frac,min_instability,min_voltage,nsteps,numsites
91,2.53878685,189.0622266,605.7307115,479.9886947,1537.821165,0.375,2.53878685,0.285714286,0.079570827,2.53878685,1,5
92,3.0050586,102.0242319,319.8591102,306.5887955,961.1953698,0.230769231,3.0050586,0.166666667,0.00067166,3.0050586,1,5
93,4.41978568,69.65995318,202.6666761,307.8820635,895.7432729,0.0625,4.41978568,0.0,0.040141868,4.41978568,1,15
94,4.491944025,69.65995318,204.4073008,312.9086105,918.1861534,0.0625,4.491944025,0.0,0.0400685,4.491944025,1,15
95,4.28063354,69.65995318,199.7982518,298.188732,855.2630979,0.0625,4.28063354,0.0,0.040292864,4.28063354,1,15
96,3.933942905,264.3337447,773.0865493,1039.873859,3041.278345,0.210526316,3.933942905,0.0,0.016480631,3.933942905,1,15
97,5.185840883,113.2157221,361.0203372,587.1187201,1872.194024,0.090909091,5.185840883,0.0,0.004667688,5.185840883,1,10
98,3.515437683,278.7792578,1233.200818,980.031108,4335.240624,0.25,4.54240724,0.0,0.030142784,2.15267096,3,12
99,2.85373222,132.0068431,355.1419181,376.7121813,1013.479934,0.105263158,2.85373222,0.0,0.0,2.85373222,1,17
100,4.141175364,207.760764,572.0653219,860.3737574,2369.022818,0.153846154,5.286667796,0.0,0.014876022,2.995682932,2,11
101,3.630536325,133.7674314,651.7146715,485.6475186,2366.073788,0.25,3.630536325,0.142857143,0.047100084,3.630536325,1,6
102,3.085048742,181.0836267,481.9290944,558.6518147,1486.774747,0.294117647,4.60477216,0.2,0.027376877,1.565325325,2,6
103,5.325289973,106.7523135,296.4074186,568.4870247,1578.455454,0.083333333,5.325289973,0.0,0.018215052,5.325289973,1,11
104,5.31476833,106.7523135,295.7050715,567.3638149,1571.603949,0.083333333,5.31476833,0.0,0.014341737,5.31476833,1,11
105,4.113350104,171.513968,495.0225088,705.4969979,2036.200888,0.142857143,4.113350104,0.0,0.027033463,4.113350104,1,30
